2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.608 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.609 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.610 INFO  [main] - r: 0 g: 2 i: 2 
